
Consulta: 1. Consultar escolas com mais de uma fonte de água
('UNIDADE ESCOLAR SAO FRANCISCO', 8)
('ESCOLA LAPIS NA MAO', 8)
('ESCOLA MUNICIPAL RUY BARBOSA', 8)
('ESC SAO JORGE', 8)
('SERVICO SOCIAL DO COMERCIO', 8)
('ESC MUN SAO SEBASTIAO', 8)
('E M E I F SANTA TEREZINHA', 8)
('E M SAO JOSE', 8)
('ESCOLA MUNICIPAL JUSCELINO KUBITSCHEK', 8)
('CEMEI CRIANCA FELIZ', 8)
('CENTRO DE EDUCACAO INFANTIL PEQUENO PRINCIPE', 8)
('EMEF TANCREDO DE ALMEIDA NEVES', 8)
('ESCOLA MUNICIPAL DOIS DE JULHO', 8)
('CENTRO EDUCACIONAL PINGO DE GENTE', 8)
('COLEGIO PAULO FREIRE', 8)
('UE TANCREDO NEVES', 8)
('EM JOAO PAULO II', 8)
('UE GONCALVES DIAS', 8)
('ESCOLA MUNICIPAL SAO JOAQUIM', 8)
('ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO', 8)
('E M E I F NOSSA SENHORA DA CONCEICAO', 8)
('EDUCANDARIO NOSSA SENHORA DA CONCEICAO', 8)
('COLEGIO LA SALLE', 8)
('E M E I F SANTO ANTONIO', 8)
('ESCOLA ESTADUAL SAO JOSE', 8)
('UE SAO JOSE', 8)
('EMEF SANTA LUZIA', 8)
('ESCOLA CARROSSEL', 8)
('ESCOLA MUNICIPAL NOVA CANAA', 8)
('ESCOLA SAO JUDAS TADEU', 8)
('EMEF PRESIDENTE VARGAS', 8)
('EM BOA ESPERANCA', 8)
('EMEF CASTELO BRANCO', 8)
('EM N SRA APARECIDA', 8)
('ESCOLA MUNICIPAL 15 DE NOVEMBRO', 8)
('ESCOLA MUNICIPAL ANTONIO CONSELHEIRO', 8)
('E M E I PINGO DE GENTE', 8)
('SAO FRANCISCO DE ASSIS COLEGIO', 8)
('SONHO DE CRIANCA C M E I', 8)
('ESC RUI BARBOSA', 8)
('COLEGIO ALPHA', 8)
('COLEGIO GALILEU', 8)
('EMEI CRIANCA ESPERANCA', 8)
('EMEI PEQUENO APRENDIZ', 8)
('ESCOLA MUNICIPAL COSTA E SILVA', 8)
('CENTRO EDUCACIONAL GIRASSOL', 8)
('ESCOLA GETULIO VARGAS', 8)
('EM STA TEREZINHA', 8)
('E M E F BOA VISTA', 8)
('INSTITUTO PRESBITERIANO DE EDUCACAO', 8)
('ESC MUN SAO JOSE', 8)
('ESC MUN NOSSA SENHORA DO PERPETUO SOCORRO', 8)
('CRECHE SAO FRANCISCO DE ASSIS', 8)
('COLEGIO ESTADUAL DUQUE DE CAXIAS', 8)
('CENTRO EDUCACIONAL JEAN PIAGET', 8)
('E M E F NOVA ESPERANCA', 8)
('ESCOLA MUNICIPAL SAO BENTO', 8)
('E M E I F SAO JOAO BATISTA', 8)
('ESCOLA RECANTO INFANTIL', 8)
('EMEF LEONEL DE MOURA BRIZOLA', 8)
('CRIANCA FELIZ EMEI', 8)
('E M E F D PEDRO I', 8)
('COLEGIO OMEGA', 8)
('ESCOLA MUNICIPAL VILA NOVA', 8)
('ESCOLA MUNICIPAL AYRTON SENNA DA SILVA', 8)
('ESCOLA MUNICIPAL SETE DE SETEMBRO', 8)
('ESCOLA MUNICIPAL SAO DOMINGOS', 8)
('CMEI CHAPEUZINHO VERMELHO', 8)
('EMEF NOVA ESPERANCA', 8)
('ESCOLA MUNICIPAL D PEDRO II', 8)
('EMEF SAO BENEDITO', 7)
('MONTEIRO LOBATO C M E I', 7)
('ESC MUN ENS FUN SAO JOSE', 7)
('JARDIM DE INFANCIA CHAPEUZINHO VERMELHO', 7)
('CRECHE MUN CRIANCA FELIZ', 7)
('ESCOLA CHAVE DO SABER', 7)
('ESCOLA CHAPEUZINHO VERMELHO', 7)
('COLEGIO MARIA MONTESSORI', 7)
('ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS', 7)
('CENTRO EDUCACIONAL NOVO HORIZONTE', 7)
('ESC MUN INDIGENA BARE WARI', 7)
('EMEI GIRASSOL', 7)
('COLEGIO SANTA MARIA', 7)
('COLEGIO LEONARDO DA VINCI', 7)
('ESCOLA PARAISO INFANTIL', 7)
('COLEGIO ANTARES ATS', 7)
('EMEI SONHO DE CRIANCA', 7)
('ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE', 7)
('COLEGIO JOAO XXIII', 7)
('CENTRO EDUCACIONAL MUNDO INFANTIL', 7)
('COLEGIO ALTERNATIVO', 7)
('EM DOM PEDRO I', 7)
('EMEI MUNDO MAGICO', 7)
('ESC NOSSA SENHORA DE FATIMA', 7)
('COLEGIO JEAN PIAGET', 7)
('EMEI NOSSA SENHORA APARECIDA', 7)
('ESC NOSSA SENHORA DA CONCEICAO', 7)
('COLEGIO INTEGRACAO', 7)
('COLEGIO INTERATIVO', 7)
('ESCOLA MUNICIPAL IMACULADA CONCEICAO', 7)
('EMEF PRESIDENTE KENNEDY', 7)
('ESC SAO JOAO', 7)
('ESCOLA SAO FRANCISCO DE ASSIS', 7)
('ESCOLA GENESIS', 7)
('CENTRO EDUCACIONAL FONTE DO SABER', 7)
('EM STA RITA', 7)
('EMEI BEM-ME-QUER', 7)
('E M E F PARAISO', 7)
('ESC EST ENS MED ERICO VERISSIMO', 7)
('CENTRO DE EDUCACAO INFANTIL PINGO DE GENTE', 7)
('EMEF SANTOS DUMONT', 7)
('ESCOLA FAVO DE MEL', 7)
('CENTRO EDUCACIONAL SONHO DE CRIANCA', 7)
('ESCOLA MORANGUINHO', 7)
('EMEF OSVALDO CRUZ', 7)
('UE SAO FRANCISCO', 7)
('EM SAO VICENTE', 7)
('ESCOLA MUNICIPAL TANCREDO DE ALMEIDA NEVES', 7)
('ESCOLA SANTOS DUMONT', 7)
('BALAO MAGICO C M E I', 7)
('ESCOLA MUNICIPAL SONHO INFANTIL', 7)
('E M E F NSRA DAS GRACAS', 7)
('BOSCO E M D EI EF', 7)
('EM SAO JORGE', 7)
('ESCOLA MUNICIPAL SAO VICENTE', 7)
('ESCOLA MUNICIPAL BRANCA DE NEVE', 7)
('EDUCANDARIO IMACULADA CONCEICAO', 7)
('ESCOLA MUNICIPAL CANTINHO DO SABER', 7)
('EMEF SAO JOAO BATISTA', 7)
('CECILIA MEIRELES E M EF', 7)
('EM SAO BENTO', 7)
('ESCOLA ESTADUAL RUI BARBOSA', 7)
('ESCOLA MUNICIPAL CHICO MENDES', 7)
('ESCOLA MUNICIPAL SAO CRISTOVAO', 7)
('EE TANCREDO DE ALMEIDA NEVES', 7)
('ESCOLA MUNDO MAGICO', 7)
('ESCOLA MUNICIPAL SANTA TEREZA', 7)
